@relation AALTDChallenge21

@attribute att0 numeric
@attribute att1 numeric
@attribute att2 numeric
@attribute att3 numeric
@attribute att4 numeric
@attribute att5 numeric
@attribute att6 numeric
@attribute att7 numeric
@attribute att8 numeric
@attribute att9 numeric
@attribute att10 numeric
@attribute att11 numeric
@attribute att12 numeric
@attribute att13 numeric
@attribute att14 numeric
@attribute att15 numeric
@attribute att16 numeric
@attribute att17 numeric
@attribute att18 numeric
@attribute att19 numeric
@attribute att20 numeric
@attribute att21 numeric
@attribute att22 numeric
@attribute att23 numeric
@attribute att24 numeric
@attribute att25 numeric
@attribute att26 numeric
@attribute att27 numeric
@attribute att28 numeric
@attribute att29 numeric
@attribute att30 numeric
@attribute att31 numeric
@attribute att32 numeric
@attribute att33 numeric
@attribute att34 numeric
@attribute att35 numeric
@attribute att36 numeric
@attribute att37 numeric
@attribute att38 numeric
@attribute att39 numeric
@attribute att40 numeric
@attribute att41 numeric
@attribute att42 numeric
@attribute att43 numeric
@attribute att44 numeric
@attribute att45 numeric
@attribute att46 numeric
@attribute att47 numeric
@attribute att48 numeric
@attribute att49 numeric
@attribute att50 numeric
@attribute target {1,2,3,4,5,6}

@data
0.619205,0.617045,0.624789,0.6341,0.680086,0.644423,0.688522,0.627196,0.501895,0.346545,0.155687,-0.0637847,0.0667279,0.1371,-0.3031,-0.293014,-0.420871,-0.329035,-0.332517,-0.414913,-0.407055,-0.486259,0.229361,0.51684,0.978982,1.53563,1.67033,1.76817,1.8905,1.93572,1.8485,1.83983,1.79589,1.98609,1.83956,1.81192,1.73309,1.58817,1.37604,1.17748,0.947067,0.623278,0.561562,0.489734,0.512017,0.534231,0.538949,0.508224,0.541325,0.559272,0.571569,4
0.618919,0.648665,0.618913,0.614933,0.624227,0.624869,0.617772,0.618085,0.651729,0.63196,0.64509,0.725728,0.815264,1.06427,1.22932,1.16388,1.37589,1.5984,1.78822,1.87886,1.9466,2.01174,2.00671,2.01301,1.97191,1.93896,1.93837,1.93963,1.91826,1.90272,1.84839,1.79522,1.74593,1.62311,1.56876,1.36091,1.17196,1.00097,0.856971,0.790748,0.675369,0.59092,0.512789,0.448961,0.43782,0.44473,0.444633,0.508731,0.455395,0.457002,0.456688,3
0.41764,0.417543,0.417055,0.415802,0.417234,0.415152,0.419535,0.464903,0.712067,0.988903,1.25718,1.59555,1.82446,1.97297,2.00225,2.02396,2.02986,2.01122,1.96404,1.95018,1.94835,1.95824,1.95204,1.95944,1.84784,1.81868,1.75947,1.52299,1.29394,1.02469,0.793994,0.473749,0.421334,0.420454,0.419948,0.415385,0.416855,0.416237,0.419213,0.417037,0.420432,0.417368,0.419476,0.423694,0.422648,0.421489,0.420014,0.419424,0.419545,0.419558,0.419541,3
0.439658,0.437954,0.433407,0.435473,0.438535,0.485341,0.715925,0.895109,1.12936,1.40986,1.4387,1.20327,0.885131,0.362297,0.0203143,-0.387189,-0.593663,-0.588039,-0.620315,-0.656511,-0.668463,-0.403473,-0.578527,-0.614736,0.0327409,0.200398,0.823055,1.43507,1.85915,1.99014,2.0514,2.06886,2.02805,1.93608,1.90037,1.9588,1.98591,1.94599,1.87445,1.86763,1.75787,1.65386,1.40729,1.10954,0.829629,0.640628,0.505435,0.537651,0.566757,0.506425,0.592521,4
0.634141,0.638523,0.640415,0.641575,0.624999,0.626132,0.631696,0.643621,0.851669,1.08969,1.37778,1.67788,1.88667,2.06531,2.12961,2.1463,2.17397,2.17851,2.16627,2.15582,2.14019,2.13812,2.13594,2.13857,2.13643,2.13472,2.10319,2.09562,2.08139,2.04258,1.90263,1.78707,1.60093,1.37102,1.05144,0.900881,0.726591,0.629519,0.605858,0.607729,0.607523,0.593316,0.591955,0.576626,0.574974,0.58829,0.607142,0.603992,0.615184,0.61639,0.607078,3
0.399113,0.394646,0.388917,0.39125,0.38714,0.389365,0.389559,0.412342,0.642755,0.84557,1.1483,1.47836,1.87295,2.0249,2.05836,1.93114,1.85751,1.84419,1.7583,1.74085,1.76891,1.78822,1.80615,1.69539,1.50917,1.17599,0.721174,0.195224,-0.295581,-0.49277,-0.505554,-0.557299,-0.513955,-0.492119,-0.495558,-0.519833,-0.602971,-0.501217,0.0644081,-0.175754,-0.198772,0.172176,0.386564,0.617287,0.674976,0.692717,0.648016,0.502726,0.468399,0.453478,0.440901,5
0.567708,0.589339,0.580746,0.58282,0.615749,0.95588,1.40151,1.67856,1.88032,2.07148,1.96333,1.90224,1.66964,1.48214,1.23694,1.17653,0.988898,0.910869,0.825441,0.868901,0.978488,1.0478,1.33265,1.36604,1.68418,1.73968,1.8181,1.82267,1.69679,1.51164,1.31745,1.13962,1.01374,0.905967,0.803352,0.678974,0.678764,0.662843,0.654094,0.660681,0.66136,0.666981,0.653051,0.652106,0.658308,0.65612,0.652261,0.650332,0.634315,0.639449,0.639242,1
0.642464,0.644635,0.645076,0.644755,0.63593,0.646863,0.654872,0.631056,0.644525,0.631536,0.655393,0.700971,0.835204,0.965752,1.20908,1.2748,1.19982,0.987634,0.843839,0.662787,0.290082,0.101539,0.0386213,0.0582673,0.197756,0.189004,0.20926,0.125327,0.0953738,0.158859,0.0317179,-0.061848,-0.170693,-0.113328,0.0146475,0.198985,0.349563,0.369136,0.395776,0.413507,0.417339,0.41519,0.403371,0.394983,0.391909,0.393047,0.391571,0.393241,0.38933,0.388981,0.389756,6
0.618103,0.609905,0.615144,0.614015,0.611357,0.618272,0.623526,0.621638,0.653435,0.895159,1.22596,1.49147,1.71676,1.88988,1.98412,2.05791,2.07365,2.07262,2.07349,2.06534,2.06603,2.0628,2.0581,2.05552,2.06345,2.06116,2.06198,2.07876,2.08714,2.07611,1.98509,1.87367,1.86657,1.52246,1.27821,1.14194,0.971826,0.766568,0.764096,0.835367,0.841843,0.825818,0.843275,0.836368,0.849224,0.800536,0.846254,0.863958,0.851458,0.779866,0.860347,3
0.635515,0.617597,0.62719,0.618518,0.642529,0.63968,0.641835,0.637262,0.62249,0.615208,0.644958,0.63535,0.588065,0.652226,0.627013,0.684824,0.713182,0.819945,1.19085,1.44577,1.79074,1.94996,2.0256,1.94837,1.97821,1.87695,1.84706,1.82374,1.83289,1.83505,1.84871,1.83482,1.87558,1.94188,1.97823,1.98848,1.98005,1.9526,1.90023,1.71846,1.56288,1.32098,1.07598,0.809235,0.46422,0.440901,0.427478,0.426121,0.441567,0.427439,0.426328,2
